BSA-ID;Baustelle;Kalendertyp;Schichtstart;Schichtende;Ressourcenkategorie-Typ;Qualifikationen
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Lernende/r;
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Lernende/r;
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Lernende/r;
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Polier/in;Sicherheitschef/in WK
499107;FbE25_AESP_W_282;Nachtdienst;29.04.2025 22:00;30.04.2025 07:00;Polier/in;Schalten und Erden WK,Sicherheitschef/in WK
499107;FbE25_AESP_W_282;Nachtdienst;29.04.2025 22:00;30.04.2025 07:00;Begleiter/in;Rangierbegleitende Ai40 / PP
499107;FbE25_AESP_W_282;Nachtdienst;29.04.2025 22:00;30.04.2025 07:00;Vorarbeiter/in;Schalten und Erden WK,Sicherheitschef/in WK
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Arbeitsleiter/in;
499107;FbE25_AESP_W_282;Nachtdienst;29.04.2025 22:00;30.04.2025 07:00;Gleismonteur/in;
499107;FbE25_AESP_W_282;Nachtdienst;29.04.2025 22:00;30.04.2025 07:00;Sicherheitswärter/in;Sicherheitswärter/in WK
737125;MG-90192 BN_R3.F_Gl. 1-21 K;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Gleismonteur/in komplex;Sicherheitschef/in WK,Sicherheitswärter/in WK
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Gleismonteur/in;
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Gleismonteur/in;
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;TFF;Aem 940
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Begleiter/in;Rangierbegleitende Ai40 / PP,Sicherheitswärter/in WK
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Arbeitsleiter/in;
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Gleismonteur/in komplex;
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Gleismonteur/in;
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Begleiter/in;Rangierbegleitende Ai40 / PP,Sicherheitswärter/in WK
737125;MG-90192 BN_R3.F_Gl. 1-21 K;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;TFF;Aem 940
499107;FbE25_AESP_W_282;Nachtdienst;29.04.2025 22:00;30.04.2025 07:00;TFF;Am 841
737092;Bern Ost-Kopf Stopfen;Nachtdienst;29.04.2025 22:00;30.04.2025 06:30;Gleismonteur/in;
