BSA-ID;Baustelle;Kalendertyp;Schichtstart;Schichtende;Ressourcenkategorie-Typ;Qualifikationen
759286;11/17/25/37/43/50_LS25_Rail U LS-COS;Nachtdienst;2025-04-30 21:00;2025-05-01 05:30;Gleismonteur/in;Unités de transport de rail électrique (STE)
759286;11/17/25/37/43/50_LS25_Rail U LS-COS;Nachtdienst;2025-04-30 21:00;2025-05-01 05:30;Polier/in;
759286;11/17/25/37/43/50_LS25_Rail U LS-COS;Nachtdienst;2025-04-30 21:00;2025-05-01 05:30;Gleismonteur/in;Technique de levage et élingueur
759286;11/17/25/37/43/50_LS25_Rail U LS-COS;Nachtdienst;2025-04-30 21:00;2025-05-01 05:30;Gleismonteur/in;
759286;11/17/25/37/43/50_LS25_Rail U LS-COS;Nachtdienst;2025-04-30 21:00;2025-05-01 05:30;TFF;Méc. de locomotive catégorie  B100 / EP,Tm 234-4
759286;11/17/25/37/43/50_LS25_Rail U LS-COS;Nachtdienst;2025-04-30 21:00;2025-05-01 05:30;Gleismonteur/in;
759286;11/17/25/37/43/50_LS25_Rail U LS-COS;Nachtdienst;2025-04-30 21:00;2025-05-01 05:30;Begleiter;Accomp. manoeuvres cat. Ai40 / EP
759286;11/17/25/37/43/50_LS25_Rail U LS-COS;Nachtdienst;2025-04-30 21:00;2025-05-01 05:30;Gleismonteur/in;
733694;FRI W53 voie ferrée et ouvrage;Nachtdienst;2025-04-30 21:30;2025-05-01 06:30;Sicherheitschef/in;Chef de la sécurité CR
733694;FRI W53 voie ferrée et ouvrage;Nachtdienst;2025-04-30 21:30;2025-05-01 06:30;Polier/in;
731120;Lot 2.2, Palézieux tête est;Nachtdienst;2025-04-30 21:30;2025-05-01 06:00;TFF;Aem 940,Am 841
733694;FRI W53 voie ferrée et ouvrage;Nachtdienst;2025-04-30 21:30;2025-05-01 06:30;Gleismonteur/in;
733694;FRI W53 voie ferrée et ouvrage;Nachtdienst;2025-04-30 21:30;2025-05-01 06:30;TFF;Tm 234
731120;Lot 2.2, Palézieux tête est;Nachtdienst;2025-04-30 21:30;2025-05-01 06:00;Begleiter;Accomp. manoeuvres cat. Ai / EP
765032;15 Curage Chénens-Fribourg ;Nachtdienst;2025-04-30 21:30;2025-05-01 06:15;Sicherheitschef/in;Accomp. manoeuvres cat. Ai / EP,Chef de la sécurité CR
733694;FRI W53 voie ferrée et ouvrage;Nachtdienst;2025-04-30 21:30;2025-05-01 06:30;Gleismonteur/in;
733694;FRI W53 voie ferrée et ouvrage;Nachtdienst;2025-04-30 21:30;2025-05-01 06:30;Gleismonteur/in;
733694;FRI W53 voie ferrée et ouvrage;Nachtdienst;2025-04-30 21:30;2025-05-01 06:30;Begleiter;Accomp. manoeuvres cat. Ai40 / EP
765032;15 Curage Chénens-Fribourg ;Nachtdienst;2025-04-30 21:30;2025-05-01 06:15;TFF;Accomp. manoeuvres cat. Ai / EP,Protecteur CR
733694;FRI W53 voie ferrée et ouvrage;Nachtdienst;2025-04-30 21:30;2025-05-01 06:30;Gleismonteur/in;
766219;18.Rails U Palézieux-Flamatt;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;TFF;Accomp. manoeuvres cat. Ai40 / EP
766219;18.Rails U Palézieux-Flamatt;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Sicherheitschef/in;Chef de la sécurité CR,Protecteur CR
766219;18.Rails U Palézieux-Flamatt;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Vorarbeiter/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Begleiter;Accomp. manoeuvres cat. Ai40 / EP,ETCS,Protecteur CR
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
766219;18.Rails U Palézieux-Flamatt;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;TFF;Méc. de locomotive catégorie  B100 / EP
766219;18.Rails U Palézieux-Flamatt;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
766219;18.Rails U Palézieux-Flamatt;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Begleiter;Accomp. manoeuvres cat. Ai40 / EP,ETCS,Protecteur CR
766219;18.Rails U Palézieux-Flamatt;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Gleismonteur/in;Technique de levage et élingueur
766219;18.Rails U Palézieux-Flamatt;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Sicherheitschef/in;Allemand K230.0  sécurité RTE 20100,Chef de la sécurité CR,Protecteur CR
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;Vorarbeiter/in;
757768;S18 Bourrage Voie  17-27+ AV 36-37 à VV;Nachtdienst;2025-04-30 22:00;2025-05-01 06:00;TFF;Aem 940,ETCS,Méc. de locomotive catégorie  B100 / EP
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Begleiter;Accomp. manoeuvres cat. Ai40 / EP,Protecteur CR
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Gleismonteur/in komplex;
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;TFF;Aem 940,Am 841
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Sicherheitschef/in;Chef de la sécurité CR,Encl/Décl & mise à terre CR
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Begleiter;Accomp. manoeuvres cat. Ai40 / EP
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Gleismonteur/in komplex;
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Gleismonteur/in;
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Gleismonteur/in komplex;
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Gleismonteur/in;
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Gleismonteur/in;
731120;Lot 2.2, Palézieux tête est;Frühdienst;2025-05-01 05:30;2025-05-01 14:00;Polier/in;
783998;BIS25_PE_CR-DAY_V929_plaques;Mitteldienst;2025-05-01 07:00;2025-05-01 16:15;Gleismonteur/in;
783998;BIS25_PE_CR-DAY_V929_plaques;Mitteldienst;2025-05-01 07:00;2025-05-01 16:15;Gleismonteur/in;
770816;Petits Entretiens ;Mitteldienst;2025-05-01 07:00;2025-05-01 16:00;Gleismonteur/in;
783998;BIS25_PE_CR-DAY_V929_plaques;Mitteldienst;2025-05-01 07:00;2025-05-01 16:15;Sicherheitschef/in;Chef de la sécurité CR,Protecteur CR
801213;PE 2025;Mitteldienst;2025-05-01 07:00;2025-05-01 16:15;Gleismonteur/in komplex;
